Identifier	Period	Measure
S004	2010-06-05	1555
S004	2010-06-12	1932
S004	2010-06-19	2550
S004	2010-06-26	2136
S004	2010-07-03	2230
S004	2010-07-10	2403
S004	2010-07-17	2235
S004	2010-07-24	1819
S004	2010-07-31	1770
S004	2010-08-07	1564
S004	2010-08-14	1629
S004	2010-08-21	1813
S004	2010-08-28	1884
S004	2010-09-04	2186
S004	2010-09-11	2051
S004	2010-09-18	2219
S004	2010-09-25	1916
S004	2010-10-02	2006
S004	2010-10-09	1801
S004	2010-10-16	1748
S004	2010-10-23	2018
S004	2010-10-30	2032
S004	2010-11-06	2151
S004	2010-11-13	2098
S004	2010-11-20	2123
S004	2010-11-27	2307
S004	2010-12-04	1914
S004	2010-12-11	2046
S004	2010-12-18	2097
S004	2010-12-25	1956
S004	2011-01-01	2711
S004	2011-01-08	1365
S004	2011-01-15	1272
S004	2011-01-22	1457
S004	2011-01-29	1485
S004	2011-02-05	1507
S004	2011-02-12	1375
S004	2011-02-19	2112
S004	2011-02-26	1851
S004	2011-03-05	2081
S004	2011-03-12	2124
S004	2011-03-19	2037
S004	2011-03-26	1931
S004	2011-04-02	2105
S004	2011-04-09	2184
S004	2011-04-16	1900
S004	2011-04-23	1995
S004	2011-04-30	2031
S004	2011-05-07	1931
S004	2011-05-14	2139
S004	2011-05-21	2209
S004	2011-05-28	2645
S004	2011-06-04	1875
S004	2011-06-11	2156
S004	2011-06-18	2696
S004	2011-06-25	2326
S004	2011-07-02	2423
S004	2011-07-09	2539
S004	2011-07-16	2326
S004	2011-07-23	1892
S004	2011-07-30	1961
S004	2011-08-06	1727
S004	2011-08-13	1674
S004	2011-08-20	1786
S004	2011-08-27	2185
S004	2011-09-03	2225
S004	2011-09-10	2190
S004	2011-09-17	2409
S004	2011-09-24	1999
S004	2011-10-01	2159
S004	2011-10-08	1923
S006	2010-01-02	2803
S006	2010-01-09	1472
S006	2010-01-16	1672
S006	2010-01-23	1287
S006	2010-01-30	1736
S006	2010-02-06	1741
S006	2010-02-13	1754
S006	2010-02-20	2003
S006	2010-02-27	1980
S006	2010-03-06	2201
S006	2010-03-13	2322
S006	2010-03-20	2245
S006	2010-03-27	2314
S006	2010-04-03	2091
S006	2010-04-10	2186
S006	2010-04-17	2225
S006	2010-04-24	2237
S006	2010-05-01	2135
S006	2010-05-08	2379
S006	2010-05-15	2151
S006	2010-05-22	2248
S006	2010-05-29	2726
S006	2010-06-05	2074
S006	2010-06-12	2340
S006	2010-06-19	2559
S006	2010-06-26	2436
S006	2010-07-03	2307
S006	2010-07-10	2814
S006	2010-07-17	2752
S006	2010-07-24	2125
S006	2010-07-31	2097
S006	2010-08-07	1757
S006	2010-08-14	1832
S006	2010-08-21	1851
S006	2010-08-28	2334
S006	2010-09-04	2630
S006	2010-09-11	2403
S006	2010-09-18	2249
S006	2010-09-25	2118
S006	2010-10-02	2168
S006	2010-10-09	2199
S006	2010-10-16	2074
S006	2010-10-23	2165
S006	2010-10-30	2376
S006	2010-11-06	2269
S006	2010-11-13	2291
S006	2010-11-20	2453
S006	2010-11-27	2745
S006	2010-12-04	2483
S006	2010-12-11	2544
S006	2010-12-18	2422
S006	2010-12-25	2208
S006	2011-01-01	2911
S006	2011-01-08	1689
S006	2011-01-15	1717
S006	2011-01-22	1750
S006	2011-01-29	2012
S006	2011-02-05	1994
S006	2011-02-12	1985
S006	2011-02-19	2393
S006	2011-02-26	2045
S006	2011-03-05	2295
S006	2011-03-12	2434
S006	2011-03-19	2590
S006	2011-03-26	2597
S006	2011-04-02	2166
S006	2011-04-09	2300
S006	2011-04-16	2575
S006	2011-04-23	2280
S006	2011-04-30	2218
S006	2011-05-07	2488
S006	2011-05-14	2630
S006	2011-05-21	2924
S006	2011-05-28	2991
S006	2011-06-04	2267
S006	2011-06-11	2503
S006	2011-06-18	2924
S006	2011-06-25	2234
S006	2011-07-02	2794
S006	2011-07-09	2883
S006	2011-07-16	3094
S006	2011-07-23	2143
S006	2011-07-30	2035
S006	2011-08-06	2096
S006	2011-08-13	1994
S006	2011-08-20	2616
S006	2011-08-27	2591
S006	2011-09-03	2873
S006	2011-09-10	2838
S006	2011-09-17	2656
S006	2011-09-24	2447
S006	2011-10-01	2629
S006	2011-10-08	2370
S008	2010-01-02	2688
S008	2010-01-09	1169
S008	2010-01-16	1327
S008	2010-01-23	1326
S008	2010-01-30	1520
S008	2010-02-06	1529
S008	2010-02-13	1467
S008	2010-02-20	1967
S008	2010-02-27	1468
S008	2010-03-06	1784
S008	2010-03-13	1848
S008	2010-03-20	1874
S008	2010-03-27	1897
S008	2010-04-03	1918
S008	2010-04-10	1719
S008	2010-04-17	1860
S008	2010-04-24	1908
S008	2010-05-01	1982
S008	2010-05-08	1848
S008	2010-05-15	2008
S008	2010-05-22	2016
S008	2010-05-29	2225
S008	2010-06-05	1687
S008	2010-06-12	1812
S008	2010-06-19	2311
S008	2010-06-26	1907
S008	2010-07-03	2044
S008	2010-07-10	2171
S008	2010-07-17	2170
S008	2010-07-24	1769
S008	2010-07-31	1761
S008	2010-08-07	1606
S008	2010-08-14	1468
S008	2010-08-21	1676
S008	2010-08-28	1715
S008	2010-09-04	2005
S008	2010-09-11	2225
S008	2010-09-18	2002
S008	2010-09-25	1751
S008	2010-10-02	1863
S008	2010-10-09	1777
S008	2010-10-16	1541
S008	2010-10-23	1835
S008	2010-10-30	1903
S008	2010-11-06	2247
S008	2010-11-13	1802
S008	2010-11-20	2000
S008	2010-11-27	2183
S008	2010-12-04	1763
S008	2010-12-11	1754
S008	2010-12-18	2022
S008	2010-12-25	1857
S008	2011-01-01	2378
S008	2011-01-08	1370
S008	2011-01-15	1314
S008	2011-01-22	1294
S008	2011-01-29	1442
S008	2011-02-05	1391
S008	2011-02-12	1342
S008	2011-02-19	1879
S008	2011-02-26	1675
S008	2011-03-05	1986
S008	2011-03-12	1886
S008	2011-03-19	1933
S008	2011-03-26	1863
S008	2011-04-02	1783
S008	2011-04-09	1886
S008	2011-04-16	1891
S008	2011-04-23	1783
S008	2011-04-30	1856
S008	2011-05-07	2045
S008	2011-05-14	1754
S008	2011-05-21	2195
S008	2011-05-28	2206
S008	2011-06-04	1797
S008	2011-06-11	1781
S008	2011-06-18	2223
S008	2011-06-25	2077
S008	2011-07-02	2033
S008	2011-07-09	2304
S008	2011-07-16	2212
S008	2011-07-23	1774
S008	2011-07-30	1687
S008	2011-08-06	1539
S008	2011-08-13	1399
S008	2011-08-20	1618
S008	2011-08-27	1960
S008	2011-09-03	2097
S008	2011-09-10	2031
S008	2011-09-17	2034
S008	2011-09-24	1929
S008	2011-10-01	1838
S008	2011-10-08	1679
S010	2010-01-02	1903
S010	2010-01-09	1021
S010	2010-01-16	1050
S010	2010-01-23	1120
S010	2010-01-30	1216
S010	2010-02-06	1248
S010	2010-02-13	1234
S010	2010-02-20	1503
S010	2010-02-27	1390
S010	2010-03-06	1482
S010	2010-03-13	1399
S010	2010-03-20	1517
S010	2010-03-27	1320
S010	2010-04-03	1415
S010	2010-04-10	1483
S010	2010-04-17	1475
S010	2010-04-24	1454
S010	2010-05-01	1558
S010	2010-05-08	1404
S010	2010-05-15	1289
S010	2010-05-22	1693
S010	2010-05-29	1780
S010	2010-06-05	1324
S010	2010-06-12	1449
S010	2010-06-19	1623
S010	2010-06-26	1546
S010	2010-07-03	1664
S010	2010-07-10	1770
S010	2010-07-17	1642
S010	2010-07-24	1364
S010	2010-07-31	1376
S010	2010-08-07	1168
S010	2010-08-14	1174
S010	2010-08-21	1414
S010	2010-08-28	1495
S010	2010-09-04	1710
S010	2010-09-11	1607
S010	2010-09-18	1729
S010	2010-09-25	1457
S010	2010-10-02	1528
S010	2010-10-09	1292
S010	2010-10-16	1243
S010	2010-10-23	1531
S010	2010-10-30	1624
S010	2010-11-06	1576
S010	2010-11-13	1562
S010	2010-11-20	1437
S010	2010-11-27	1824
S010	2010-12-04	1380
S010	2010-12-11	1471
S010	2010-12-18	1534
S010	2010-12-25	1351
S010	2011-01-01	1944
S010	2011-01-08	1094
S010	2011-01-15	972
S010	2011-01-22	966
S010	2011-01-29	1093
S010	2011-02-05	1127
S010	2011-02-12	1191
S010	2011-02-19	1492
S010	2011-02-26	1324
S010	2011-03-05	1493
S010	2011-03-12	1403
S010	2011-03-19	1424
S010	2011-03-26	1484
S010	2011-04-02	1414
S010	2011-04-09	1364
S010	2011-04-16	1333
S010	2011-04-23	1624
S010	2011-04-30	1308
S010	2011-05-07	1431
S010	2011-05-14	1566
S010	2011-05-21	1635
S010	2011-05-28	1695
S010	2011-06-04	1316
S010	2011-06-11	1550
S010	2011-06-18	1723
S010	2011-06-25	1519
S010	2011-07-02	1676
S010	2011-07-09	1862
S010	2011-07-16	1618
S010	2011-07-23	1321
S010	2011-07-30	1283
S010	2011-08-06	1172
S010	2011-08-13	1161
S010	2011-08-20	1270
S010	2011-08-27	1443
S010	2011-09-03	1458
S010	2011-09-10	1442
S010	2011-09-17	1605
S010	2011-09-24	1414
S010	2011-10-01	1397
S010	2011-10-08	1159
S011	2010-01-02	2514
S011	2010-01-09	1573
S011	2010-01-16	1564
S011	2010-01-23	1539
S011	2010-01-30	1501
S011	2010-02-06	1506
S011	2010-02-13	1566
S011	2010-02-20	1559
S011	2010-02-27	1473
S011	2010-03-06	1505
S011	2010-03-13	1603
S011	2010-03-20	1586
S011	2010-03-27	1874
S011	2010-04-03	2641
S011	2010-04-10	1962
S011	2010-04-17	1588
S011	2010-04-24	1835
S011	2010-05-01	1731
S011	2010-05-08	1807
S011	2010-05-15	2701
S011	2010-05-22	3374
S011	2010-05-29	3145
S011	2010-06-05	3180
S011	2010-06-12	3043
S011	2010-06-19	3542
S011	2010-06-26	3784
S011	2010-07-03	3639
S011	2010-07-10	3815
S011	2010-07-17	3848
S011	2010-07-24	4263
S011	2010-07-31	4103
S011	2010-08-07	3873
S011	2010-08-14	4210
S011	2010-08-21	3969
S011	2010-08-28	4322
S011	2010-09-04	3325
S011	2010-09-11	3002
S011	2010-09-18	2335
S011	2010-09-25	2133
S011	2010-10-02	2162
S011	2010-10-09	2233
S011	2010-10-16	2477
S011	2010-10-23	2114
S011	2010-10-30	1977
S011	2010-11-06	2203
S011	2010-11-13	1416
S011	2010-11-20	1317
S011	2010-11-27	1413
S011	2010-12-04	1450
S011	2010-12-11	1396
S011	2010-12-18	1530
S011	2010-12-25	1545
S011	2011-01-01	2423
S011	2011-01-08	1368
S011	2011-01-15	1521
S011	2011-01-22	1414
S011	2011-01-29	1416
S011	2011-02-05	1489
S011	2011-02-12	1405
S011	2011-02-19	1456
S011	2011-02-26	1421
S011	2011-03-05	1507
S011	2011-03-12	1415
S011	2011-03-19	1415
S011	2011-03-26	1875
S011	2011-04-02	2464
S011	2011-04-09	2351
S011	2011-04-16	2118
S011	2011-04-23	2241
S011	2011-04-30	2144
S011	2011-05-07	2096
S011	2011-05-14	2597
S011	2011-05-21	2871
S011	2011-05-28	3195
S011	2011-06-04	2854
S011	2011-06-11	3052
S011	2011-06-18	3639
S011	2011-06-25	3817
S011	2011-07-02	3304
S011	2011-07-09	3461
S011	2011-07-16	3609
S011	2011-07-23	3841
S011	2011-07-30	4057
S011	2011-08-06	3855
S011	2011-08-13	3717
S011	2011-08-20	3499
S011	2011-08-27	4042
S011	2011-09-03	3147
S011	2011-09-10	3209
S011	2011-09-17	2325
S011	2011-09-24	2162
S011	2011-10-01	2306
S011	2011-10-08	2187
S015	2010-01-02	2598
S015	2010-01-09	1352
S015	2010-01-16	1282
S015	2010-01-23	1335
S015	2010-01-30	1518
S015	2010-02-06	1532
S015	2010-02-13	1483
S015	2010-02-20	1992
S015	2010-02-27	1802
S015	2010-03-06	1768
S015	2010-03-13	1970
S015	2010-03-20	1806
S015	2010-03-27	1895
S015	2010-04-03	1967
S015	2010-04-10	1918
S015	2010-04-17	1870
S015	2010-04-24	1878
S015	2010-05-01	2078
S015	2010-05-08	2000
S015	2010-05-15	1866
S015	2010-05-22	2017
S015	2010-05-29	2441
S015	2010-06-05	1683
S015	2010-06-12	1897
S015	2010-06-19	2376
S015	2010-06-26	1980
S015	2010-07-03	1997
S015	2010-07-10	2183
S015	2010-07-17	2243
S015	2010-07-24	1465
S015	2010-07-31	1631
S015	2010-08-07	1532
S015	2010-08-14	1501
S015	2010-08-21	1691
S015	2010-08-28	1699
S015	2010-09-04	2050
S015	2010-09-11	2015
S015	2010-09-18	2027
S015	2010-09-25	1922
S015	2010-10-02	1972
S015	2010-10-09	1633
S015	2010-10-16	1603
S015	2010-10-23	1812
S015	2010-10-30	1904
S015	2010-11-06	2003
S015	2010-11-13	1792
S015	2010-11-20	1825
S015	2010-11-27	2342
S015	2010-12-04	1743
S015	2010-12-11	1797
S015	2010-12-18	1901
S015	2010-12-25	2027
S015	2011-01-01	2312
S015	2011-01-08	1332
S015	2011-01-15	1276
S015	2011-01-22	1261
S015	2011-01-29	1427
S015	2011-02-05	1393
S015	2011-02-12	1548
S015	2011-02-19	1869
S015	2011-02-26	1632
S015	2011-03-05	1710
S015	2011-03-12	1764
S015	2011-03-19	1893
S015	2011-03-26	1716
S015	2011-04-02	1753
S015	2011-04-09	1873
S015	2011-04-16	1836
S015	2011-04-23	1746
S015	2011-04-30	1948
S015	2011-05-07	1691
S015	2011-05-14	1923
S015	2011-05-21	2055
S015	2011-05-28	1927
S015	2011-06-04	1639
S015	2011-06-11	1863
S015	2011-06-18	2063
S015	2011-06-25	1966
S015	2011-07-02	1806
S015	2011-07-09	2046
S015	2011-07-16	2156
S015	2011-07-23	1626
S015	2011-07-30	1598
S015	2011-08-06	1369
S015	2011-08-13	1466
S015	2011-08-20	1706
S015	2011-08-27	1723
S015	2011-09-03	1958
S015	2011-09-10	1899
S015	2011-09-17	1942
S015	2011-09-24	1785
S015	2011-10-01	1761
S015	2011-10-08	1563
S017	2010-01-02	2314
S017	2010-01-09	1266
S017	2010-01-16	1083
S017	2010-01-23	1128
S017	2010-01-30	1289
S017	2010-02-06	1394
S017	2010-02-13	1275
S017	2010-02-20	1689
S017	2010-02-27	1569
S017	2010-03-06	1871
S017	2010-03-13	1684
S017	2010-03-20	1702
S017	2010-03-27	1722
S017	2010-04-03	1650
S017	2010-04-10	1428
S017	2010-04-17	1827
S017	2010-04-24	1668
S017	2010-05-01	1635
S017	2010-05-08	1719
S017	2010-05-15	1641
S017	2010-05-22	1947
S017	2010-05-29	1984
S017	2010-06-05	1586
S017	2010-06-12	1669
S017	2010-06-19	1926
S017	2010-06-26	1924
S017	2010-07-03	2080
S017	2010-07-10	1921
S017	2010-07-17	1975
S017	2010-07-24	1425
S017	2010-07-31	1633
S017	2010-08-07	1352
S017	2010-08-14	1186
S017	2010-08-21	1343
S017	2010-08-28	1754
S017	2010-09-04	1870
S017	2010-09-11	1658
S017	2010-09-18	1729
S017	2010-09-25	1704
S017	2010-10-02	1673
S017	2010-10-09	1362
S017	2010-10-16	1557
S017	2010-10-23	1631
S017	2010-10-30	1768
S017	2010-11-06	1871
S017	2010-11-13	1761
S017	2010-11-20	1498
S017	2010-11-27	2066
S017	2010-12-04	1746
S017	2010-12-11	1701
S017	2010-12-18	1720
S017	2010-12-25	1651
S017	2011-01-01	1944
S017	2011-01-08	1124
S017	2011-01-15	1113
S017	2011-01-22	1175
S017	2011-01-29	1462
S017	2011-02-05	1341
S017	2011-02-12	1290
S017	2011-02-19	1722
S017	2011-02-26	1537
S017	2011-03-05	1664
S017	2011-03-12	1588
S017	2011-03-19	1689
S017	2011-03-26	1696
S017	2011-04-02	1662
S017	2011-04-09	1795
S017	2011-04-16	1825
S017	2011-04-23	1554
S017	2011-04-30	1666
S017	2011-05-07	1532
S017	2011-05-14	1587
S017	2011-05-21	1754
S017	2011-05-28	1941
S017	2011-06-04	1594
S017	2011-06-11	1559
S017	2011-06-18	2000
S017	2011-06-25	1857
S017	2011-07-02	1807
S017	2011-07-09	2000
S017	2011-07-16	1881
S017	2011-07-23	1424
S017	2011-07-30	1407
S017	2011-08-06	1152
S017	2011-08-13	1333
S017	2011-08-20	1423
S017	2011-08-27	1599
S017	2011-09-03	1832
S017	2011-09-10	1776
S017	2011-09-17	1761
S017	2011-09-24	1566
S017	2011-10-01	1737
S017	2011-10-08	1456
S018	2010-01-02	3422
S018	2010-01-09	2936
S018	2010-01-16	2976
S018	2010-01-23	3172
S018	2010-01-30	3368
S018	2010-02-06	3268
S018	2010-02-13	2916
S018	2010-02-20	3048
S018	2010-02-27	2876
S018	2010-03-06	2858
S018	2010-03-13	2635
S018	2010-03-20	2758
S018	2010-03-27	2191
S018	2010-04-03	2116
S018	2010-04-10	2043
S018	2010-04-17	2150
S018	2010-04-24	1599
S018	2010-05-01	1920
S018	2010-05-08	1505
S018	2010-05-15	1673
S018	2010-05-22	1553
S018	2010-05-29	1468
S018	2010-06-05	1536
S018	2010-06-12	1298
S018	2010-06-19	1450
S018	2010-06-26	1449
S018	2010-07-03	1358
S018	2010-07-10	1291
S018	2010-07-17	1322
S018	2010-07-24	1263
S018	2010-07-31	1253
S018	2010-08-07	1299
S018	2010-08-14	1422
S018	2010-08-21	1292
S018	2010-08-28	1344
S018	2010-09-04	1413
S018	2010-09-11	1811
S018	2010-09-18	1823
S018	2010-09-25	1721
S018	2010-10-02	1793
S018	2010-10-09	1909
S018	2010-10-16	1936
S018	2010-10-23	1898
S018	2010-10-30	2193
S018	2010-11-06	2512
S018	2010-11-13	2463
S018	2010-11-20	2358
S018	2010-11-27	2577
S018	2010-12-04	2743
S018	2010-12-11	3006
S018	2010-12-18	2990
S018	2010-12-25	2746
S018	2011-01-01	3336
S018	2011-01-08	3408
S018	2011-01-15	3347
S018	2011-01-22	3224
S018	2011-01-29	3616
S018	2011-02-05	3431
S018	2011-02-12	3445
S018	2011-02-19	3560
S018	2011-02-26	3532
S018	2011-03-05	2954
S018	2011-03-12	2837
S018	2011-03-19	3191
S018	2011-03-26	2123
S018	2011-04-02	2486
S018	2011-04-09	2266
S018	2011-04-16	2575
S018	2011-04-23	1850
S018	2011-04-30	1820
S018	2011-05-07	1879
S018	2011-05-14	2002
S018	2011-05-21	1497
S018	2011-05-28	1623
S018	2011-06-04	1676
S018	2011-06-11	1666
S018	2011-06-18	1428
S018	2011-06-25	1399
S018	2011-07-02	1343
S018	2011-07-09	1631
S018	2011-07-16	1325
S018	2011-07-23	1501
S018	2011-07-30	1354
S018	2011-08-06	1292
S018	2011-08-13	1449
S018	2011-08-20	1592
S018	2011-08-27	1488
S018	2011-09-03	1326
S018	2011-09-10	1632
S018	2011-09-17	1627
S018	2011-09-24	1824
S018	2011-10-01	2038
S018	2011-10-08	2454
S020	2010-01-02	2509
S020	2010-01-09	1078
S020	2010-01-16	1326
S020	2010-01-23	1334
S020	2010-01-30	1547
S020	2010-02-06	1422
S020	2010-02-13	1513
S020	2010-02-20	1836
S020	2010-02-27	1584
S020	2010-03-06	1870
S020	2010-03-13	1855
S020	2010-03-20	1788
S020	2010-03-27	1783
S020	2010-04-03	1802
S020	2010-04-10	1874
S020	2010-04-17	1825
S020	2010-04-24	1707
S020	2010-05-01	1861
S020	2010-05-08	1801
S020	2010-05-15	1906
S020	2010-05-22	1899
S020	2010-05-29	1997
S020	2010-06-05	1616
S020	2010-06-12	1784
S020	2010-06-19	2288
S020	2010-06-26	1841
S020	2010-07-03	1924
S020	2010-07-10	2205
S020	2010-07-17	2139
S020	2010-07-24	1651
S020	2010-07-31	1569
S020	2010-08-07	1423
S020	2010-08-14	1417
S020	2010-08-21	1527
S020	2010-08-28	1896
S020	2010-09-04	1993
S020	2010-09-11	1993
S020	2010-09-18	2166
S020	2010-09-25	1929
S020	2010-10-02	1804
S020	2010-10-09	1757
S020	2010-10-16	1653
S020	2010-10-23	1833
S020	2010-10-30	1891
S020	2010-11-06	2079
S020	2010-11-13	1868
S020	2010-11-20	1856
S020	2010-11-27	2303
S020	2010-12-04	1977
S020	2010-12-11	1848
S020	2010-12-18	2226
S020	2010-12-25	1809
S020	2011-01-01	2702
S020	2011-01-08	1378
S020	2011-01-15	1301
S020	2011-01-22	1185
S020	2011-01-29	1487
S020	2011-02-05	1492
S020	2011-02-12	1629
S020	2011-02-19	1937
S020	2011-02-26	1557
S020	2011-03-05	1930
S020	2011-03-12	1816
S020	2011-03-19	1745
S020	2011-03-26	1997
S020	2011-04-02	1968
S020	2011-04-09	1874
S020	2011-04-16	2052
S020	2011-04-23	1886
S020	2011-04-30	1756
S020	2011-05-07	2006
S020	2011-05-14	1856
S020	2011-05-21	2129
S020	2011-05-28	2202
S020	2011-06-04	1620
S020	2011-06-11	1970
S020	2011-06-18	2210
S020	2011-06-25	2066
S020	2011-07-02	2202
S020	2011-07-09	2023
S020	2011-07-16	2213
S020	2011-07-23	1876
S020	2011-07-30	1744
S020	2011-08-06	1421
S020	2011-08-13	1550
S020	2011-08-20	1753
S020	2011-08-27	1869
S020	2011-09-03	2068
S020	2011-09-10	2139
S020	2011-09-17	2235
S020	2011-09-24	1869
S020	2011-10-01	2023
S020	2011-10-08	1595
S022	2010-01-02	2671
S022	2010-01-09	1579
S022	2010-01-16	1421
S022	2010-01-23	1538
S022	2010-01-30	1798
S022	2010-02-06	1683
S022	2010-02-13	1752
S022	2010-02-20	2078
S022	2010-02-27	1818
S022	2010-03-06	1892
S022	2010-03-13	2043
S022	2010-03-20	2184
S022	2010-03-27	2150
S022	2010-04-03	2029
S022	2010-04-10	2133
S022	2010-04-17	1883
S022	2010-04-24	2228
S022	2010-05-01	2049
S022	2010-05-08	2128
S022	2010-05-15	2186
S022	2010-05-22	2256
S022	2010-05-29	2759
S022	2010-06-05	1957
S022	2010-06-12	2188
S022	2010-06-19	2674
S022	2010-06-26	2464
S022	2010-07-03	2420
S022	2010-07-10	2875
S022	2010-07-17	2493
S022	2010-07-24	2078
S022	2010-07-31	1797
S022	2010-08-07	1670
S022	2010-08-14	1672
S022	2010-08-21	1841
S022	2010-08-28	2153
S022	2010-09-04	2432
S022	2010-09-11	2259
S022	2010-09-18	2398
S022	2010-09-25	2210
S022	2010-10-02	2152
S022	2010-10-09	1850
S022	2010-10-16	1821
S022	2010-10-23	2051
S022	2010-10-30	2197
S022	2010-11-06	2566
S022	2010-11-13	2077
S022	2010-11-20	2299
S022	2010-11-27	2437
S022	2010-12-04	2081
S022	2010-12-11	2134
S022	2010-12-18	2305
S022	2010-12-25	2161
